Dato,Tid,NO2,NOx,CO,O3,PM10,PM25,SO2
17-07, 11,    28.45,    59.30,     0.22,    52.34,    24.60,     8.25,     0.92,
17-07, 10,    21.49,    50.65,     0.18,    53.44,    24.75,     7.35,     0.75,
17-07,  9,    18.75,    39.80,     0.20,    52.00,    21.10,     7.40,     0.48,
17-07,  8,    13.24,    26.24,     0.14,    56.19,    17.50,     6.30,     0.26,
17-07,  7,     9.56,    18.98,     0.13,    54.16,    18.85,     6.75,     0.09,
17-07,  6,    13.70,    27.37,     0.13,    45.22,    19.10,     6.65,     0.30,
17-07,  5,    24.63,    48.00,     0.15,    30.86,    27.15,     7.70,     0.57,
17-07,  4,    19.88,    39.65,     0.27,    37.79,    20.45,     6.45,     0.81,
17-07,  3,    14.51,    27.20,     0.16,    46.83,    16.90,     5.80,     1.11,
17-07,  2,    12.61,    24.01,     0.15,    48.84,    15.00,     5.30,     0.26,
17-07,  1,    20.60,    46.83,     0.21,    40.69,    18.00,     6.90,     0.54,
17-07,  0,    22.43,    48.15,     0.31,    40.97,    17.95,     6.65,     0.72,
16-07, 23,    23.38,    55.01,     0.23,    39.52,    17.30,     8.40,     0.78,
16-07, 22,    37.84,    87.19,     0.38,    26.81,    25.35,     8.85,     1.31,
16-07, 21,    20.58,    38.47,     0.25,    40.72,     8.65,     5.75,     0.51,
16-07, 20,    28.67,    65.28,     0.32,    17.28,    19.20,    10.10,     0.88,
16-07, 19,    23.36,    51.60,     0.29,    22.24,    21.30,     9.95,     0.75,
16-07, 18,    29.46,    77.23,     0.36,    18.33,    23.05,    11.20,     1.16,
16-07, 17,    29.85,    76.35,     0.30,    17.93,    23.85,    10.75,     1.11,
16-07, 16,    31.29,    85.31,     0.41,    21.29,    29.00,    13.40,     1.51,
16-07, 15,    30.90,    77.15,     0.29,    25.95,    35.70,    16.40,     1.18,
16-07, 14,    32.40,    69.60,     0.30,    33.14,    29.90,    14.45,     0.95,
16-07, 13,    34.98,    71.06,     0.29,    38.95,    22.30,    12.25,     0.89,
16-07, 12,    35.58,    71.50,     0.27,    49.40,    29.30,    11.65,     1.08,
16-07, 11,    37.13,    68.11,     0.24,    53.80,    28.55,    10.65,     0.99,
16-07, 10,    34.86,    68.80,     0.27,    46.12,    28.30,    10.05,     1.31,
16-07,  9,    26.40,    52.54,     0.21,    55.15,    24.40,    11.30,     0.91,
16-07,  8,    26.15,    53.55,     0.19,    53.21,    21.55,     8.80,     0.94,
16-07,  7,    23.58,    42.06,     0.17,    46.08,    23.80,     8.05,     0.65,
16-07,  6,    20.68,    39.11,     0.17,    45.51,    24.85,     7.25,     0.72,
16-07,  5,    20.71,    43.20,     0.17,    38.26,    20.80,     6.45,     0.82,
16-07,  4,    21.30,    38.86,     0.16,    37.10,    20.35,     6.75,     0.65,
16-07,  3,    19.64,    40.12,     0.21,    41.45,    17.80,     6.85,     0.68,
16-07,  2,    19.36,    37.54,     0.17,    46.88,    19.80,     6.75,     0.55,
16-07,  1,    14.53,    25.68,     0.16,    55.12,    14.95,     5.40,     0.31,
16-07,  0,    17.71,    37.05,     0.17,    52.38,    15.15,     6.15,     0.31,
15-07, 23,    21.49,    45.70,     0.23,    47.87,    19.50,     6.90,     0.64,
15-07, 22,    18.44,    38.77,     0.24,    49.53,    19.50,     6.75,     0.50,
15-07, 21,    16.57,    32.21,     0.23,    53.42,    19.75,     7.15,     0.38,
15-07, 20,    17.05,    29.25,     0.18,    57.99,    19.75,     7.55,     0.20,
15-07, 19,    18.03,    38.78,     0.21,    53.87,    23.45,     8.40,     0.38,
15-07, 18,    27.02,    60.55,     0.23,    49.28,    28.10,    10.45,     0.78,
15-07, 17,    27.59,    53.49,     0.22,    50.91,    28.00,     9.85,     0.61,
15-07, 16,    26.29,    57.18,     0.23,    50.45,    29.30,     9.75,     0.64,
15-07, 15,    35.75,    82.90,     0.33,    45.53,    40.45,     9.90,     1.06,
